
17:35:04 CI  11: df 14 19 0a c4 15 22 ba 82 cf 6c
17:35:04 CI  11: df 14 19 0a c4 15 22 bb 82 cf 6d
17:35:04 CI  11: df 14 19 0a c4 15 22 bb 82 cf 6e
17:35:05 CI  11: df 14 19 0a c4 15 22 bb 82 cf 6f
17:35:05 CI  11: df 14 19 0a c4 15 23 80 82 cf 70
17:35:06 CI  11: df 14 19 0a c4 15 23 80 82 cf 71
17:35:06 CI  11: df 14 19 0a c4 15 23 81 82 cf 72
17:35:07 CI  11: df 14 19 0a c4 15 23 81 82 cf 73
17:35:07 CI  11: df 14 19 0a c4 15 23 82 82 cf 74
17:35:07 CI  11: df 14 19 0a c4 15 23 82 82 cf 75
17:35:08 CI  11: df 14 19 0a c4 15 23 82 82 cf 76
17:35:08 CI  11: df 14 19 0a c4 15 23 83 82 cf 77
17:35:09 CI  11: df 14 19 0a c4 15 23 83 82 cf 78
17:35:09 CI  11: df 14 19 0a c4 15 23 84 82 cf 79
17:35:10 CI  11: df 14 19 0a c4 15 23 84 82 cf 7a
17:35:10 CI  11: df 14 19 0a c4 15 23 85 82 cf 7b
17:35:10 CI  11: df 14 19 0a c4 15 23 85 82 cf 7c
17:35:11 CI  11: df 14 19 0a c4 15 23 86 82 cf 80
17:35:11 CI  11: df 14 19 0a c4 15 23 86 82 cf 81
17:35:12 CI  11: df 14 19 0a c4 15 23 86 82 cf 82
17:35:12 CI  11: df 14 19 0a c4 15 23 87 82 cf 83
17:35:13 CI  11: df 14 19 0a c4 15 23 87 82 cf 84
17:35:13 CI  11: df 14 19 0a c4 15 23 88 82 cf 85
17:35:13 CI  11: df 14 19 0a c4 15 23 88 82 cf 86
17:35:14 CI  11: df 14 19 0a c4 15 23 89 82 cf 87
17:35:15 CI  11: df 14 19 0a c4 15 23 89 82 cf 88
17:35:15 CI  11: df 14 19 0a c4 15 23 89 82 cf 89
17:35:15 CI  11: df 14 19 0a c4 15 23 8a 82 cf 8a
17:35:16 CI  11: df 14 19 0a c4 15 23 8a 82 cf 8b
17:35:16 CI  11: df 14 19 0a c4 15 23 8b 82 cf 8c
17:35:16 CI  11: df 14 19 0a c4 15 23 8b 82 cf 8d
17:35:17 CI  11: df 14 19 0a c4 15 23 8c 82 cf 8e
17:35:17 CI  11: df 14 19 0a c4 15 23 8c 82 cf 8f
17:35:18 CI  11: df 14 19 0a c4 15 23 8c 82 cf 90
17:35:18 CI  11: df 14 19 0a c4 15 23 8d 82 cf 91
17:35:19 CI  11: df 14 19 0a c4 15 23 8d 82 cf 92
17:35:19 CI  11: df 14 19 0a c4 15 23 8e 82 cf 93
17:35:20 CI  11: df 14 19 0a c4 15 23 8e 82 cf 94
17:35:20 CI  11: df 14 19 0a c4 15 23 8f 82 cf 95
17:35:20 CI  11: df 14 19 0a c4 15 23 8f 82 cf 96
17:35:21 CI  11: df 14 19 0a c4 15 23 8f 82 cf 97
17:35:21 CI  11: df 14 19 0a c4 15 23 90 82 cf 98
17:35:22 CI  11: df 14 19 0a c4 15 23 90 82 cf 99
17:35:22 CI  11: df 14 19 0a c4 15 23 91 82 cf 9a
17:35:22 CI  11: df 14 19 0a c4 15 23 91 82 cf 9b
17:35:23 CI  11: df 14 19 0a c4 15 23 92 82 cf 9c
17:35:23 CI  11: df 14 19 0a c4 15 23 92 82 cf 9d
17:35:24 CI  11: df 14 19 0a c4 15 23 92 82 cf 9e
17:35:24 CI  11: df 14 19 0a c4 15 23 93 82 cf 9f
17:35:25 CI  11: df 14 19 0a c4 15 23 93 82 cf a0
17:35:25 CI  11: df 14 19 0a c4 15 23 94 82 cf a1
